,raceId,driverId,finnishPosition,laps,year,round,circuitId,grand_prix,nationality,constructor,number,positionQuali,driver_name,age
103,950,4,3,56,2016,3,17,10,18,8,14,12,11,35.0
104,953,4,17,78,2016,6,6,23,18,8,14,10,11,35.0
105,962,4,19,61,2016,15,15,29,18,8,14,9,11,35.0
106,963,4,19,56,2016,16,2,20,18,8,14,22,11,35.0
107,965,4,17,56,2016,18,69,35,18,8,14,12,11,35.0
108,967,4,1,71,2016,20,18,7,18,8,14,10,11,35.0
109,968,4,1,55,2016,21,24,1,18,8,14,9,11,35.0
110,976,4,21,51,2017,8,73,4,18,8,14,16,11,36.0
111,979,4,18,70,2017,11,11,17,18,8,14,8,11,36.0
112,987,4,20,71,2017,19,18,7,18,8,14,7,11,36.0
113,989,4,17,58,2018,1,1,2,18,8,14,11,11,37.0
114,991,4,19,56,2018,3,17,10,18,8,14,13,11,37.0
115,992,4,19,51,2018,4,73,4,18,8,14,13,11,37.0
116,998,4,20,52,2018,10,9,8,18,8,14,13,11,37.0
117,1003,4,19,61,2018,15,15,29,18,8,14,11,11,37.0
304,950,18,4,56,2016,3,17,10,3,8,22,13,14,36.0
305,955,18,2,51,2016,8,73,14,3,8,22,19,14,36.0
306,956,18,18,71,2016,9,70,3,3,8,22,5,14,36.0
307,963,18,21,56,2016,16,2,20,3,8,22,9,14,37.0
308,967,18,7,71,2016,20,18,7,3,8,22,17,14,37.0
377,1052,817,19,56,2021,1,3,5,0,8,3,6,5,32.0
378,1053,817,18,63,2021,2,21,13,0,8,3,6,5,32.0
379,1054,817,21,66,2021,3,75,24,0,8,3,16,5,32.0
380,1055,817,18,66,2021,4,4,30,0,8,3,7,5,32.0
381,1057,817,21,51,2021,6,73,4,0,8,3,13,5,32.0
382,1059,817,18,53,2021,7,34,15,0,8,3,10,5,32.0
383,1060,817,19,71,2021,9,70,3,0,8,3,13,5,32.0
384,1061,817,17,52,2021,10,9,8,0,8,3,7,5,32.0
385,1063,817,16,1,2021,12,13,6,0,8,3,4,5,32.0
386,1065,817,0,53,2021,14,14,18,0,8,3,5,5,32.0
387,1066,817,16,53,2021,15,71,26,0,8,3,5,5,32.0
388,1069,817,17,56,2021,17,69,35,0,8,3,7,5,32.0
389,1072,817,17,50,2021,21,77,28,0,8,3,11,5,32.0
402,1013,832,19,51,2019,4,73,4,18,8,55,10,3,25.0
403,1014,832,20,66,2019,5,4,30,18,8,55,13,3,25.0
404,1015,832,18,78,2019,6,6,23,18,8,55,9,3,25.0
405,1017,832,18,53,2019,8,34,15,18,8,55,6,3,25.0
406,1019,832,18,52,2019,10,9,8,18,8,55,13,3,25.0
407,1020,832,17,64,2019,11,10,16,18,8,55,7,3,25.0
408,1024,832,3,61,2019,15,15,29,18,8,55,7,3,25.0
409,1025,832,18,53,2019,16,71,26,18,8,55,6,3,25.0
410,1026,832,17,52,2019,17,22,19,18,8,55,7,3,25.0
411,1031,832,17,71,2020,1,70,3,18,8,55,8,3,26.0
412,1029,832,15,71,2019,20,18,7,18,8,55,20,3,25.0
413,1034,832,4,52,2020,4,9,8,18,8,55,7,3,26.0
414,1035,832,4,52,2020,5,9,0,18,8,55,13,3,26.0
415,1038,832,11,53,2020,8,14,18,18,8,55,3,3,26.0
416,1041,832,17,60,2020,11,20,12,18,8,55,10,3,26.0
417,1043,832,19,63,2020,13,21,13,18,8,55,10,3,26.0
418,1044,832,17,58,2020,14,5,33,18,8,55,13,3,26.0
419,1045,832,17,57,2020,15,3,5,18,8,55,15,3,26.0
420,1046,832,16,87,2020,16,3,27,18,8,55,8,3,26.0
421,1047,832,18,55,2020,17,24,1,18,8,55,6,3,26.0
422,976,838,3,51,2017,8,73,4,1,8,2,19,38,25.0
423,980,838,5,44,2017,12,13,6,1,8,2,15,38,25.0
424,982,838,19,58,2017,14,15,29,1,8,2,9,38,25.0
425,989,838,21,58,2018,1,1,2,1,8,2,12,38,26.0
426,991,838,4,56,2018,3,17,10,1,8,2,14,38,26.0
427,992,838,21,51,2018,4,73,4,1,8,2,16,38,26.0
428,998,838,2,52,2018,10,9,8,1,8,2,17,38,26.0
429,999,838,4,67,2018,11,10,16,1,8,2,20,38,26.0
430,1011,846,18,57,2019,2,3,5,3,8,4,10,19,19.0
431,1013,846,20,51,2019,4,73,4,3,8,4,7,19,19.0
432,1015,846,2,78,2019,6,6,23,3,8,4,12,19,20.0
433,1019,846,2,52,2019,10,9,8,3,8,4,8,19,20.0
434,1024,846,19,61,2019,15,15,29,3,8,4,9,19,20.0
435,1025,846,20,53,2019,16,71,26,3,8,4,8,19,20.0
436,1031,846,15,71,2020,1,70,3,3,8,4,4,19,21.0
437,1028,846,19,56,2019,19,69,35,3,8,4,8,19,20.0
438,1029,846,20,71,2019,20,18,7,3,8,4,11,19,20.0
439,1032,846,17,71,2020,2,70,31,3,8,4,6,19,21.0
440,1034,846,17,52,2020,4,9,8,3,8,4,5,19,21.0
441,1035,846,21,52,2020,5,9,0,3,8,4,10,19,21.0
442,1037,846,19,44,2020,7,13,6,3,8,4,10,19,21.0
443,1038,846,16,53,2020,8,14,18,3,8,4,6,19,21.0
444,1039,846,18,59,2020,9,76,34,3,8,4,11,19,21.0
445,1043,846,20,63,2020,13,21,13,3,8,4,9,19,21.0
446,1044,846,20,58,2020,14,5,33,3,8,4,11,19,21.0
447,1045,846,16,57,2020,15,3,5,3,8,4,9,19,21.0
448,1046,846,1,87,2020,16,3,27,3,8,4,15,19,21.0
449,1047,846,17,55,2020,17,24,1,3,8,4,4,19,21.0
450,1052,846,16,56,2021,1,3,5,3,8,4,7,19,21.0
451,1053,846,15,63,2021,2,21,13,3,8,4,7,19,21.0
452,1054,846,17,66,2021,3,75,24,3,8,4,7,19,21.0
